date,SYN:spot,SYN:vol,SYN:spot_level,SYN:vol_level
2021-08-17,-0.0050951772,-0.0083855088,380.8330223645,0.1831796436
2021-08-18,0.0051169494,-0.0064812463,382.7867198866,0.1766983973
2021-08-19,-0.0103587575,0.0072104407,378.8419915841,0.1839088381
2021-08-20,0.0062205107,-0.0044075162,381.2059270494,0.1795013219
2021-08-23,0.0031064416,-0.0052393522,382.3919622324,0.1742619697
2021-08-24,-0.0010215400,-0.0051449274,382.0015329820,0.1691170423
2021-08-25,-0.0105378233,0.0072838170,377.9972038561,0.1764008593
2021-08-26,-0.0206933116,0.0440568902,370.2555662555,0.2204577495
2021-08-27,-0.0209568556,0.0401147539,362.5769150402,0.2605725033
2021-08-30,0.0112911413,-0.0112373028,366.6940219033,0.2493352005
2021-08-31,0.0035471399,-0.0141357941,367.9970465424,0.2351994063
2021-09-01,0.0043868954,-0.0084014563,369.6149572906,0.2267979500
2021-09-02,-0.0075321068,-0.0005415923,366.8414362825,0.2262563577
2021-09-03,0.0174185095,0.0039754564,373.2872425137,0.2302318140
2021-09-06,-0.0163741618,0.0198196440,367.2247463877,0.2500514580
2021-09-07,0.0073706188,-0.0115020922,369.9414194941,0.2385493659
2021-09-08,0.0071900899,-0.0113354100,372.6109170126,0.2272139558
2021-09-09,0.0154839224,0.0007253874,378.4252940520,0.2279393433
2021-09-10,0.0118480453,-0.0032160884,382.9355602534,0.2247232549
2021-09-13,-0.0019729100,-0.0043116514,382.1808076291,0.2204116035
2021-09-14,-0.0001548274,-0.0049689847,382.1216401478,0.2154426188
2021-09-15,0.0055442327,-0.0167450711,384.2460952186,0.1986975477
2021-09-16,-0.0033380887,-0.0048657207,382.9655860891,0.1938318270
2021-09-17,-0.0012369357,-0.0114501248,382.4921751214,0.1823817021
2021-09-20,0.0256238701,0.0144802325,392.4197532149,0.1968619347
2021-09-21,0.0043793129,-0.0065218089,394.1420505852,0.1903401257
2021-09-22,0.0172523715,0.0043596760,401.0009315036,0.1946998017
2021-09-23,0.0212922486,0.0095048113,409.6306905005,0.2042046131
2021-09-24,-0.0116506587,0.0001020357,404.8859166541,0.2043066488
2021-09-27,0.0391131229,0.0430495622,421.0360515064,0.2473562110
2021-09-28,0.0055727599,-0.0122570345,423.3889342694,0.2350991765
2021-09-29,-0.0078349914,-0.0118260003,420.0846470498,0.2232731762
2021-09-30,-0.0029003425,-0.0102066911,418.8680228647,0.2130664851
2021-10-01,0.0033695783,-0.0089631656,420.2818120616,0.2041033194
2021-10-04,-0.0152291966,0.0135256907,413.9297489121,0.2176290102
2021-10-05,-0.0034541494,-0.0078668961,412.5024402098,0.2097621140
2021-10-06,0.0031868158,-0.0095854808,413.8191063560,0.2001766332
2021-10-07,-0.0076492572,-0.0073078112,410.6657732915,0.1928688220
2021-10-08,0.0326269755,0.0288669089,424.2855330060,0.2217357310
2021-10-11,0.0087887147,-0.0070545646,428.0308918632,0.2146811664
2021-10-12,-0.0035439520,-0.0048761045,426.5166557149,0.2098050619
2021-10-13,0.0001749696,-0.0091494098,426.5912897038,0.2006556521
2021-10-14,0.0075675239,-0.0086722807,429.8317752593,0.1919833714
2021-10-15,0.0090929267,-0.0041220279,433.7580275835,0.1878613435
2021-10-18,0.0034728157,-0.0147622012,435.2670079685,0.1730991422
2021-10-19,0.0092423006,-0.0067783081,439.3085241697,0.1663208341
2021-10-20,-0.0073533240,-0.0010656835,436.0899942004,0.1652551506
2021-10-21,-0.0048095656,-0.0034775440,433.9976264785,0.1617776066
2021-10-22,-0.0059529601,-0.0026359498,431.4217306385,0.1591416568
2021-10-25,0.0013665811,-0.0066191088,432.0117064354,0.1525225481
2021-10-26,-0.0064280063,-0.0042952406,429.2436385744,0.1482273075
2021-10-27,0.0036727875,-0.0062504775,430.8230579000,0.1419768300
2021-10-28,-0.0055131154,0.0010968689,428.4544159626,0.1430736989
2021-10-29,0.0035728778,-0.0109078957,429.9879691850,0.1321658032
2021-11-01,0.0021822711,-0.0077574307,430.9273441238,0.1244083725
2021-11-02,0.0101863087,0.0020312825,435.3393358726,0.1264396550
2021-11-03,-0.0027576919,0.0043416076,434.1404579617,0.1307812626
2021-11-04,0.0019308720,-0.0002625773,434.9795374534,0.1305186853
2021-11-05,-0.0031406079,0.0046069563,433.6155802189,0.1351256416
2021-11-08,0.0025260013,0.0020807648,434.7122782817,0.1372064065
2021-11-09,-0.0065932806,0.0013355621,431.8555262667,0.1385419686
